#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-04-16 04:32:35 EDT      (vaww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://waterdata.usgs.gov/ca/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# dd_nu
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 11458000 NAPA R NR NAPA CA
# 
# Explanation of Parameter Code and dd_nu used in the Statistics Data 
# parameter_cd	Parameter Name					dd_nu	Location Name
# 00060		Discharge, cubic feet per second		2	
# 80155		Suspended sediment discharge, tons per day		5	
#
#
agency_cd	site_no	parameter_cd	dd_nu	year_nu	month_nu	mean_va
USGS	11458000	00060	2	1982	3	808.4
USGS	11458000	00060	2	1982	4	1341
USGS	11458000	00060	2	1982	5	92.1
USGS	11458000	00060	2	1982	6	38.7
USGS	11458000	00060	2	1982	7	17.3
USGS	11458000	00060	2	1982	8	9.12
USGS	11458000	00060	2	1982	9	10.7
USGS	11458000	00060	2	1982	10	11.4
USGS	11458000	00060	2	1982	11	246.7
USGS	11458000	00060	2	1982	12	515.9
USGS	11458000	00060	2	1983	1	1204
USGS	11458000	00060	2	1983	2	1816
USGS	11458000	00060	2	1983	3	2598
USGS	11458000	00060	2	1983	4	383.6
USGS	11458000	00060	2	1983	5	226.4
USGS	11458000	00060	2	1983	6	52.1
USGS	11458000	00060	2	1983	7	19.4
USGS	11458000	00060	2	1983	8	9.43
USGS	11458000	00060	2	1983	9	7.55
USGS	11458000	00060	2	1983	10	11.7
USGS	11458000	00060	2	1983	11	507.4
USGS	11458000	00060	2	1983	12	1474
USGS	11458000	00060	2	1984	1	314.3
USGS	11458000	00060	2	1984	2	157.4
USGS	11458000	00060	2	1984	3	158.9
USGS	11458000	00060	2	1984	4	58.6
USGS	11458000	00060	2	1984	5	33.5
USGS	11458000	00060	2	1984	6	13.5
USGS	11458000	00060	2	1984	7	5.54
USGS	11458000	00060	2	1984	8	4.56
USGS	11458000	00060	2	1984	9	3.72
USGS	11458000	00060	2	1984	10	6.02
USGS	11458000	00060	2	1984	11	177.3
USGS	11458000	00060	2	1984	12	105.0
USGS	11458000	00060	2	1985	1	72.0
USGS	11458000	00060	2	1985	2	391.0
USGS	11458000	00060	2	1985	3	167.9
USGS	11458000	00060	2	1985	4	93.3
USGS	11458000	00060	2	1985	5	30.4
USGS	11458000	00060	2	1985	6	11.5
USGS	11458000	00060	2	1985	7	4.09
USGS	11458000	00060	2	1985	8	3.49
USGS	11458000	00060	2	1985	9	4.23
USGS	11458000	00060	2	1985	10	5.04
USGS	11458000	00060	2	1985	11	13.7
USGS	11458000	00060	2	1985	12	49.0
USGS	11458000	00060	2	1986	1	215.7
USGS	11458000	00060	2	1986	2	4089
USGS	11458000	00060	2	1986	3	1218
USGS	11458000	00060	2	1986	4	119.0
USGS	11458000	00060	2	1986	5	45.2
USGS	11458000	00060	2	1986	6	16.3
USGS	11458000	00060	2	1986	7	8.52
USGS	11458000	00060	2	1986	8	5.11
USGS	11458000	00060	2	1986	9	5.37
USGS	11458000	00060	2	1986	10	4.78
USGS	11458000	00060	2	1986	11	5.05
USGS	11458000	00060	2	1986	12	7.72
USGS	11458000	00060	2	1987	1	20.3
USGS	11458000	00060	2	1987	2	203.6
USGS	11458000	00060	2	1987	3	194.1
USGS	11458000	00060	2	1987	4	46.0
USGS	11458000	00060	2	1987	5	16.7
USGS	11458000	00060	2	1987	6	5.78
USGS	11458000	00060	2	1987	7	3.43
USGS	11458000	00060	2	1987	8	2.15
USGS	11458000	00060	2	1987	9	1.01
USGS	11458000	00060	2	1987	10	1.36
USGS	11458000	00060	2	1987	11	5.04
USGS	11458000	00060	2	1987	12	231.9
USGS	11458000	00060	2	1988	1	455.2
