#
#
"# US Geological Survey, Water Resources Data"
# retrieved: 2014-02-06 16:21:33 EST      (nadww01)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
"# For more details on why the statistics may not match, visit http://nwis.waterdata.usgs.gov/nwis/?dv_statistics_disclaimer."
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 11458000 NAPA R NR NAPA CA
# 
# Explanation of Parameter Code and dd_nu used in the Statistics Data 
# parameter_cd  Parameter Name                                  dd_nu   Location Name
"# 00060         Discharge, cubic feet per second                2       "
"# 80154         Suspended sediment concentration, milligrams per liter          4       "
"# 80155         Suspended sediment discharge, tons per day              5       "
#
# Data heading explanations.
# begin_yr_dt ... First complete year of data of daily mean values for this day.
# end_yr_dt   ... Last complete year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd       site_no parameter_cd    dd_nu   month_nu        day_nu  begin_yr        end_yr  count_nu        max_va_yr       max_va  min_va_yr       min_va  mean_va p05_va  p10_va  p20_va  p25_va  p50_va  p75_va  p80_va  p90_va  p95_va
5s      15s     5s      11n     3n      3n      6n      6n      8n      5n      12s     5n      12s     12s     12s     12s     12s     12s     12s     12s     12s     12s     12s
USGS    11458000        00060   2       4       19      1960    2013    54      1967    1050    1977    0.00    156     15      23      31      38      75      173     204     426     837
USGS    11458000        00060   2       4       20      1960    2013    54      1967    782     1977    0.00    139     15      22      36      37      72      172     209     364     708
USGS    11458000        00060   2       4       21      1960    2013    54      1967    835     1977    0.00    133     14      20      37      39      69      158     187     352     653
USGS    11458000        00060   2       4       22      1960    2013    54      1967    849     1977    0.00    122     13      20      35      39      65      146     165     293     542
USGS    11458000        00060   2       4       23      1960    2013    54      1967    908     1977    0.00    121     13      21      34      38      67      138     158     295     476
USGS    11458000        00060   2       4       24      1960    2013    54      1967    859     1977    0.00    124     11      20      33      36      64      147     174     364     456
USGS    11458000        00060   2       4       25      1960    2013    54      1967    684     1977    0.00    118     11      17      31      37      61      145     178     297     453
USGS    11458000        00060   2       4       26      1960    2013    54      1967    579     1977    0.00    107     11      18      32      36      58      136     161     307     374
USGS    11458000        00060   2       4       27      1960    2013    54      1967    512     1977    0.00    99      11      21      28      33      60      123     152     253     343
USGS    11458000        00060   2       4       28      1960    2013    54      1983    705     1977    0.00    101     8.9     19      27      29      57      117     139     249     423
USGS    11458000        00060   2       4       29      1960    2013    54      2003    872     1977    0.00    103     7.3     17      24      30      55      115     134     227     436
USGS    11458000        00060   2       4       30      1960    2013    54      2003    694     1977    0.00    96      6.2     16      23      30      50      108     125     205     421
USGS    11458000        00060   2       5       1       1960    2013    54      1995    724     1977    0.00    100     7.1     17      25      30      48      101     117     216     565
USGS    11458000        00060   2       5       2       1960    2013    54      1983    546     1977    0.00    89      7.6     15      25      31      48      95      111     199     452
USGS    11458000        00060   2       5       3       1960    2013    54      2003    1310    1977    0.00    99      8.4     15      24      30      48      91      106     184     354
USGS    11458000        00060   2       5       4       1960    2013    54      2003    966     1977    0.00    88      8.4     14      25      29      47      85      101     175     300
USGS    11458000        00060   2       5       5       1960    2013    54      2003    642     1977    0.00    81      8.1     15      22      28      47      89      106     179     289
USGS    11458000        00060   2       5       6       1960    2013    54      2003    506     1977    0.00    76      6.9     15      22      28      46      85      96      161     284
USGS    11458000        00060   2       5       7       1960    2013    54      2003    427     1977    0.00    69      7.1     16      23      27      47      79      92      150     245
USGS    11458000        00060   2       5       8       1960    2013    54      2003    365     1977    0.00    66      8.1     15      24      28      42      77      94      148     221
USGS    11458000        00060   2       5       9       1960    2013    54      2005    632     1977    0.00    71      6.3     15      23      27      41      74      83      146     286
USGS    11458000        00060   2       5       10      1960    2013    54      2005    461     1977    0.00    65      5.7     15      23      24      41      69      80      143     258
USGS    11458000        00060   2       5       11      1960    2013    54      2005    296     1977    0.00    59      4.8     14      23      24      38      64      75      134     235
USGS    11458000        00060   2       5       12      1960    2013    54      2003    230     1977    0.00    56      5.3     13      20      22      39      63      73      140     219
USGS    11458000        00060   2       5       13      1960    2013    54      2003    214     1977    0.00    54      4.6     12      20      21      36      63      68      144     186
USGS    11458000        00060   2       5       14      1960    2013    54      2003    195     1977    0.00    51      3.2     12      19      23      36      60      66      124     182
USGS    11458000        00060   2       5       15      1960    2013    54      2003    192     1977    0.00    49      2.6     11      18      20      34      66      71      116     162
USGS    11458000        00060   2       5       16      1960    2013    54      1996    181     1977    0.00    48      2.8     10      17      20      33      62      70      117     163
USGS    11458000        00060   2       5       17      1960    2013    54      2003    160     1977    0.00    46      4.6     10      16      20      31      65      74      113     145
USGS    11458000        00060   2       5       18      1960    2013    54      1996    440     1977    0.00    56      5.8     9.6     15      19      30      60      70      121     220
USGS    11458000        00060   2       5       19      1960    2013    54      2005    1760    1977    0.00    74      2.6     9.8     15      18      30      58      68      104     158
USGS    11458000        00060   2       5       20      1960    2013    54      2005    676     1977    0.00    52      2.3     11      15      17      30      56      65      98      137
USGS    11458000        00060   2       5       21      1960    2013    54      2005    438     1977    0.00    46      1.9     12      15      17      29      53      62      94      128
USGS    11458000        00060   2       5       22      1960    2013    54      2005    333     1977    0.00    45      1.7     11      15      18      28      52      60      99      145
USGS    11458000        00060   2       5       23      1960    2013    54      2005    270     1977    0.00    41      1.4     12      14      18      26      48      59      90      121
USGS    11458000        00060   2       5       24      1960    2013    54      2005    229     1977    0.00    39      2.0     9.1     15      17      27      48      55      84      110
USGS    11458000        00060   2       5       25      1960    2013    54      2005    201     1977    0.00    37      2.6     9.9     15      15      26      46      56      81      104
USGS    11458000        00060   2       5       26      1960    2013    54      2005    179     1977    0.00    35      2.8     9.3     14      15      24      43      60      78      97
USGS    11458000        00060   2       5       27      1960    2013    54      2005    163     1977    0.00    35      2.9     9.9     14      16      23      46      57      81      96
USGS    11458000        00060   2       5       28      1960    2013    54      1990    537     1977    0.00    45      6.4     8.8     14      15      23      46      56      88      139
